,Player,Tm,season17_18
149,Corey Brewer,LAL,7579366.00 
150,Andrew Wiggins,MIN,7574322.00 
151,Darrell Arthur,DEN,7464912.00 
152,Channing Frye,LAL,7420912.00 
153,Trevor Ariza,HOU,7420912.00 
154,Al-Farouq Aminu,POR,7319035.00 
155,Cole Aldrich,MIN,7300000.00 
156,D.J. Augustin,ORL,7250000.00 
157,Markelle Fultz,PHI,7026240.00 
158,Lou Williams,LAC,7000000.00 
159,Kyle Korver,CLE,7000000.00 
160,Jeremy Lamb,CHO,7000000.00 
161,Boban Marjanovic,LAC,7000000.00 
162,Jae Crowder,UTA,6796117.00 
163,Jabari Parker,MIL,6782392.00 
164,Langston Galloway,DET,6666667.00 
165,Lance Thomas,NYK,6655325.00 
166,Ed Davis,POR,6352531.00 
167,Marco Belinelli,ATL,6306060.00 
168,Jonathon Simmons,ORL,6300000.00 
169,Lonzo Ball,LAL,6286560.00 
170,Wayne Ellington,MIA,6270000.00 
171,Isaiah Thomas,LAL,6261395.00 
172,Karl-Anthony Towns,MIN,6216840.00 
173,Ben Simmons,PHI,6168840.00 
174,Joel Embiid,PHI,6100266.00 
175,Spencer Hawes,MIL,6021175.00 
176,Josh McRoberts,DAL,6021175.00 
177,Ish Smith,DET,6000000.00 
178,Alan Williams,PHO,6000000.00 
179,Shelvin Mack,ORL,6000000.00 
180,Milos Teodosic,LAC,6000000.00 
181,Ersan Ilyasova,ATL,6000000.00 
182,Dewayne Dedmon,ATL,6000000.00 
183,Tyler Johnson,MIA,5881260.00 
184,Wesley Johnson,LAC,5881260.00 
185,Alex Abrines,OKC,5725000.00 
186,Jayson Tatum,BOS,5645400.00 
187,D'Angelo Russell,BRK,5562360.00 
188,Brandon Ingram,LAL,5519400.00 
189,Patrick Beverley,LAC,5513514.00 
190,Aaron Gordon,ORL,5504420.00 
191,Deron Williams,BRK,5500000.00 
192,Josh Smith,DET,5400000.00 
193,Thabo Sefolosha,UTA,5250000.00 
194,Jason Smith,WAS,5225000.00 
195,Ben McLemore,MEM,5200000.00 
196,Patrick Patterson,OKC,5192000.00 
197,Nick Young,GSW,5192000.00 
198,Brandan Wright,MEM,5179760.00 
199,Josh Jackson,PHO,5090040.00 
200,Marcus Morris,BOS,5000000.00 
201,Dirk Nowitzki,DAL,5000000.00 
202,Greg Monroe,BOS,5000000.00 
203,Mike Muscala,ATL,5000000.00 
204,Jahlil Okafor,BRK,4995120.00 
205,Dante Exum,UTA,4992385.00 
206,Alexis Ajinca,NOP,4961798.00 
207,Jaylen Brown,BOS,4956480.00 
208,Jameer Nelson,DEN,4736050.00 
209,Kyle Singler,OKC,4666500.00 
210,Justin Holiday,CHI,4615385.00 
211,De'Aaron Fox,SAC,4609200.00 
212,Marcus Smart,BOS,4538020.00 
213,Kristaps Porzingis,NYK,4503600.00 
214,Dragan Bender,PHO,4468800.00 
215,Devin Harris,DEN,4402546.00 
216,Ron Baker,NYK,4328000.00 
217,Jamal Crawford,MIN,4328000.00 
218,Aron Baynes,BOS,4328000.00 
219,Alex Len,PHO,4187599.00 
220,Nerlens Noel,DAL,4187599.00 
221,Jonathan Isaac,ORL,4186320.00 
222,Lance Stephenson,IND,4180000.00 
223,Julius Randle,LAL,4149242.00 
224,Kyle O'Quinn,NYK,4087500.00 
225,Mario Hezonja,ORL,4078320.00 
226,Kris Dunn,CHI,4046760.00 
227,Jonas Jerebko,UTA,4000000.00 
228,Nemanja Bjelica,MIN,3949999.00 
229,J.J. Barea,DAL,3903900.00 
230,Quincy Pondexter,CHI,3853931.00 
231,Lauri Markkanen,CHI,3821640.00 
232,Nik Stauskas,BRK,3807146.00 
233,Willie Cauley-Stein,SAC,3704160.00 
234,Buddy Hield,SAC,3675480.00 
235,Will Barton,DEN,3533333.00 
236,Noah Vonleh,CHI,3505233.00 
237,Frank Ntilikina,NYK,3501120.00 
238,Nene Hilario,HOU,3477600.00 
239,Zaza Pachulia,GSW,3477600.00 
240,Troy Daniels,PHO,3408520.00 
241,Emmanuel Mudiay,NYK,3381480.00 
242,Jamal Murray,DEN,3355320.00 
243,Elfrid Payton,PHO,3332340.00 
244,Rajon Rondo,NOP,3300000.00 
245,Doug McDermott,DAL,3294994.00 
246,Jodie Meeks,WAS,3290000.00 
247,Tyreke Evans,MEM,3290000.00 
248,Tarik Black,HOU,3290000.00 
249,Anthony Tolliver,DET,3290000.00 
250,Dennis Smith,DAL,3218280.00 
251,Zach LaVine,CHI,3202217.00 
252,Ekpe Udoh,UTA,3200000.00 
253,T.J. Warren,PHO,3152931.00 
254,Stanley Johnson,DET,3097800.00 
255,Marquese Chriss,PHO,3073800.00 
256,Zach Collins,POR,3057240.00 
257,James Ennis,DET,3028410.00 
258,Seth Curry,DAL,3028410.00 
259,Mindaugas Kuzminskas,NYK,3025035.00 
260,Tomas Satoransky,WAS,3000000.00 
261,Rajon Rondo,CHI,3000000.00 
262,Lucas Nogueira,TOR,2947305.00 
263,Jusuf Nurkic,POR,2947305.00 
264,Malik Monk,CHO,2904480.00 
265,Frank Kaminsky,CHO,2847600.00 
266,Andrew Nicholson,POR,2844429.00 
267,Jakob Poeltl,TOR,2825640.00 
268,Luke Kennard,DET,2759280.00 
269,Justise Winslow,MIA,2705040.00 
270,Michael Carter-Williams,CHO,2700000.00 
271,Thon Maker,MIL,2684160.00 
272,Cedi Osman,CLE,2642857.00 
273,Donovan Mitchell,UTA,2621280.00 
274,Myles Turner,IND,2569920.00 
275,Gary Harris,DEN,2550055.00 
276,Domantas Sabonis,IND,2550000.00 
277,Manu Ginobili,SAS,2500000.00 
278,Reggie Bullock,DET,2500000.00 
279,Richard Jefferson,ATL,2500000.00 
280,Malcolm Delaney,ATL,2500000.00 
281,Bam Adebayo,MIA,2490360.00 
282,Bruno Caboclo,SAC,2451225.00 
283,Ronnie Price,OKC,2442455.00 
284,Trey Lyles,DEN,2441400.00 
285,Dario Saric,PHI,2422560.00 
286,Taurean Waller-Prince,ATL,2422560.00 
287,Rodney Hood,CLE,2386864.00 
288,Justin Jackson,SAC,2365560.00 
289,Shabazz Napier,POR,2361360.00 
290,Clint Capela,HOU,2334520.00 
291,Arron Afflalo,ORL,2328652.00 
292,Raymond Felton,OKC,2328652.00 
293,Nick Collison,OKC,2328652.00 
294,Ramon Sessions,NYK,2328652.00 
295,Jarrett Jack,NYK,2328652.00 
296,Jason Terry,MIL,2328652.00 
297,Udonis Haslem,MIA,2328652.00 
298,Dwyane Wade,MIA,2328652.00 
299,David West,GSW,2328652.00 
300,Richard Jefferson,DEN,2328652.00 
301,Jose Calderon,CLE,2328652.00 
302,Andrew Bogut,LAL,2328652.00 
303,Devin Booker,PHO,2319360.00 
304,Georgios Papagiannis,SAC,2301360.00 
305,Dante Cunningham,BRK,2300000.00 
306,Jameer Nelson,DET,2262871.00 
307,Justin Patton,MIN,2247480.00 
308,Guerschon Yabusele,BOS,2247480.00 
309,Monta Ellis,IND,2245400.00 
310,Cameron Payne,CHI,2203440.00 
